collegename,tuitionfees,placement,academic,Accommodation,Faculty,Infrastructure,Placement,SocialLife,likes,dislikes,hostelfees,TransportConnectivity
NITJamshedpur,163000,"NIT Jamshedpur Placements 2024 has been concluded. However, the official NIT Jamshedpur Placement 2024 Report has not been released yet. As per the previous year trend, NIT Jamshedpur Placements concluded with 98.87% placements.NIT Jamshedpur Placements recorded the highest package of INR 83 LPA whereas the average package stood at INR 15.98 LPA. There were 250+ top recruiters and 90+ new recruiters at the NIT Jamshedpur Placements with a total of 750+ job offers. Out of all the branches in the institute, CSE average package was the highest with INR 26.63 LPA. 37.4% Students secured packages between INR 10 - 20 LPA. Some of the top recruiters included Alstom, Tata Motors, KPMG, Adobe, Amazon, Genpact, ICICI Bank etc. According to a media report, M.Tech students for batch 2023 secured the highest package at INR 11.70 LPA.NIT Jamshedpur has also released the Summer Internship report. 458 offers were made to the students during 6 month internships and 177 offers were recorded during summer internship. CSE Branch witnessed the highest % of offers during 6 month internships at 24.7%. During summer internship, CSE & ME recorded the highest offers at 21.2% each.",3.8,4,3.7,3.9,4.4,4.2,"NIT Jamshedpur offers well-equipped academic and hostel facilities, with good mess food and active clubs for overall development. The college provides excellent placement and internship opportunities, and is conveniently located near Tatanagar Junction with good transportation. The atmosphere is positive, with helpful faculty and a focus on practical learning.","The fests here are not so big as compared to iits  ~ Review Rebel, B.TechCollege location is in the industrial area  ~ Review Rebel, B.TechHostels washrooms are not fully cleaned and hygenic  ~ Review Ranger, B.TechCourse content should be updated to mach new trends  ~ Amit Rajput, MCASports and activities facilities need better resources  ~ Amit Rajput, MCAsometime internet not work properly but recovered very fast.  ~ Nabin Kumar Bhakat, MCAThe college is open so anybody can roam in the college  ~ Adarsh Sahu, B.TechThis does not allow us to keep vehicle with us  ~ Adarsh Sahu, B.TechDoes not have parks and grounds for chilling out  ~ College Ninja, MCADoes not have an Auditorium and I do not like OATs  ~ College Ninja, MCA","For Male:[Hostel Establishement Fee] is ₹7000, [Hostel Rent,electricity,water charges, service  charges] is ₹8000 Total Fee for hostel is ₹15000.For Female:[Hostel Establishement Fee] is ₹7000, [Hostel Rent,electricity,water charges, service  charges] is ₹8000, Total Fee for hostel is ₹15000.","NIT Jamshedpur:railway:  (TATA)TATANAGAR JN, 3.99 Kmsairport: Birsa Munda Airport (65.4 miles / 105.2 kilometers)"
NITDuragapur,173700,"NIT Durgapur Placement 2024 has not been released yet, it will be updated here once released. As per the placement statistics of 2023, the highest salary of INR 70 LPA was offered. Top reputed recruiters include TCS Ninja, PwC, ICICI Bank, Microsoft and many others. During the 2023 placement drive, more than 100 recruiters participated in the placement drive. 633 students were placed. During NIT Durgapur Placements 2023, the average salary stood at INR 13.64 LPA.NIT Durgapur has started the Summer Internship Placements 2022. Till now, a total of 7 companies visited the campus and offered internships to 44 students for the internship programs.",4.2,3.6,4.2,4.5,4.5,4.6,"College life : academic stress is very less in NIT Durgapur  ~ Chandra Prakash Singh, B.TechResearch : Our college constructed a 12 floor building just for research  ~ Chandra Prakash Singh, B.TechProfessor: Most of the professor are friendly and have a great indepth knowledge of the subject.  ~ Chandra Prakash Singh, B.TechBig campus, great infrastructure, excellent hostel facilities and moderately good good.  ~ Raghav Maheshwari, B.TechGirls to Boys ratio is around 1 to 3 and it is quite good  ~ Subham Kumar Prasad, B.TechSPORTS FACILITIES ARE EXCEPTIONALLY WELL YOU HAVE STUDENT ACTIVITY CENTRE AND INTER NIT CONMPETITONS.  ~ Yash Chowrasia, B.TechI am very much fond of the campus of our college..... The campus filled with greenery and clean silent roads make my liking double for it.  ~ Debolina Bose, B.TechLocation of this institute is also a good  ~ Hariom Kumar, B.TechNew academic building is good classroom are fully air conditioned and with smart class facilities also there is canteen in it labs are quite good.  ~ Navneet Kumar, B.Sc + M.ScThe wifi connection is very good and the staff are very interactive.  ~ Faisal Nawaz, B.Tech","Labs : the condition of the labs are outdated.  ~ Chandra Prakash Singh, B.TechGender ratio : It is less when compared to private colleges, 1:5  ~ Chandra Prakash Singh, B.TechHOSTEL SPORTS FACILITIES ARE NOT MAINTAINED WELL.  ~ Yash Chowrasia, B.TechMost of faculty speaks only english language  ~ Hariom Kumar, B.TechThe hectic schedule and study pressure in the college. Our college mainly focuses on academics utmost.  ~ Review Ranger, B.TechThe Fees of this college is quite high and not affordable for many students  ~ Review Guru, B.TechThe college has lot of restrictions for the betterment of us only.  ~ Faisal Nawaz, B.TechLecture delivered by professor are so boring that students tried to give just proxy  ~ Alok Das, B.Sc + M.ScThe system of mics and speakers used in the classroom is not configured properly and there should be a digital board in such large classrooms instead of the conventional chalk and blackboard.  ~ Anurag Singh, B.TechThe ground which is at the entrance of the college should be maintained for conducting any sports activities and the gym should be well equipped with new equipment's and its size should also be increased..  ~ Anurag Singh, B.Tech","For Male:HOSTEL FEE (Payable in the 1st SEMESTER) IN INR: Hostel Seat Rent – 5000, Hostel Caution Money (refundable) – 5000, Hostel Establishment charge – Rs 1200 HOSTEL FEE (Payable from 2nd SEMESTER onwards) IN INR: Hostel Seat Rent – 5000, Hostel Establishment charge – Rs 1200.For Female: HOSTEL FEE (Payable in the 1st SEMESTER) IN INR: Hostel Seat Rent – 5000, Hostel Caution Money (refundable) – 5000, Hostel Establishment charge – Rs 1200 HOSTEL FEE (Payable from 2nd SEMESTER onwards) IN INR: Hostel Seat Rent – 5000, Hostel Establishment charge – Rs 1200 ","NIT Duragapur:railway: Durgapur Railway Station, 8kmsairport: Kazi Nazrul Islam Airport (8.5 miles / 13.6 kilometers)"
MNITBhopal,155400,"MANIT Bhopal Placements 2024 has not been released yet, it will be updated here once released. As per the latest statistics of 2023-2024 available on the official website, the highest and average package offered stands at INR 82 LPA and INR 15.5 LPA respectively. The median package offered at MANIT Bhopal Placements 2023 -2024 stands at INR 10 LPA. Some of the top recruiters of MANIT Bhopal include SBI Card, Reliance, Optum, Wipro, Jio, Bharti Airtel, etc. The most number of offers were made by the SBI Card, and Bloomberg London offered the highest package.",3.9,3.8,3.9,4.1,4.1,4.2,"Our faculty members are too much helpful .  ~ Rishabh Anand, B.TechClean and green Campus with size of 650 acres. Best sports facilities.Recently introduced electronic buses for making campus green.  ~ Aryan Meena, B.TechPlacement of our college is fair enough 27 lpa is average packages of computer science branch but mine is mechanical it has average package of 10 lpa???? , for all the braches average pacage is 15 lakh in computer science highest package is 82 lakh  ~ Ujjawal Varshney, B.TechVery extraordinary faculty and best research centre  ~ Sahil Chouhan, B.TechGood sports facilities with great teachers girls to boys ratio may be 2 /10  ~ Sahil Chouhan, B.TechHostel infrastructure is good , cleanliness good , washrooms are avg  ~ Akshan, B.TechClubs, societies and its technical and cultural fest  ~ Saurya Singh, B.TechSports facilities provided by this college is really good  ~ Piyush Verma, B.TechGood coding environment and very bright minds. Boys hostel is very good and enjoying.  ~ Karan Upadhyay, B.TechI like about this institute is good sport facilities  ~ Chirag Singh Paliya, B.Tech","There are some students who take ragging or follow senior junior cultre .  ~ Rishabh Anand, B.TechAcademic pressure is on a higher side here.  ~ Nishtha Chittora, B.TechGym facilities are not for all students this is only for selected students  ~ Vikash Sharma, B.TechCollege infrastruture is very old and it needs to be renovate  ~ Dev Bansal, B.TechNo sports facilities for first year students  ~ Mohd Wasim Akhtar, B.TechThe behaviour and interaction of senior students is not satisfactory.  ~ Trilok Dhakad, B.TechThere is no proper department for cse and ece students  ~ Jatavath Kalyan Singh, B.TechThere is small Library and with the limited number of books  ~ Jatavath Kalyan Singh, B.TechExecutive working is not proper . While the first year students have to suffer initially by the difficult culture of the college.  ~ Anuj Namdeo, B.TechNot provide much facility to the students of travelling with college . Students are not much allow to explore themselves in first year  ~ Anuj Namdeo, B.Tech","For Male: Mess fees for 2 semester – Rs 25000For Female: Mess fees for 2 semester – Rs 26000","MNIT Bhopal:railway: Habibganj railway station, 5kmsairport: Bhopal Airport (BHO), 8.27kms"
NITPatna,260500,"NIT Patna Placements 2024 have concluded. However, there has been no official reports released for the NIT Patna Placements 2024. A partial data for the NIT Patna Recruiters and Packages 2024 is given in the article below.  As per the NIT Patna Placements Trends in 2023, there were more than 120+ recruiters participated in the placement drive & placed 609 students. NIT Patna highest package stood at INR 52 LPA whereas NIT Patna average package stood at INR 14 LPA. Some of the participating top recruiters included ONGC, Bharat Electronics, Google etc.",4,3.6,4,3.9,4,4,"I liked the campus life, although the campus is a bit small it allows us to get familiar with people well and develop binds of friendship.  ~ Damini Kumari, B.ArchI liked the workshops and opportutnits provided by the college and the department for the students to learn and develop skills.  ~ Damini Kumari, B.ArchLastly, the clubs are quite active and there are lot of fun events from the drama club, the art and literary club, etc  ~ Damini Kumari, B.ArchFacilities are really good in their respected place  ~ Priyanshu Kashyap, B.ArchClub is really interesting and entertaining  ~ Priyanshu Kashyap, B.ArchI like the hostels and its vibe is next level.  ~ Yash Raj Gautam, B.ArchShort and small campus everything is too close not too much you have to walk  ~ Suhani Singh, B.ArchCollege is very good and excellent and neat and clean  ~ Gaurav Kumar, B.TechCampus life is awesome and neat and clean.  ~ Gaurav Kumar, B.TechFaculties are very good and cooperative.  ~ Gaurav Kumar, B.Tech","I dislike the arrangements in the hostel, there is not enough facilities and space to accomodate the number fo students.  ~ Damini Kumari, B.ArchThe is little to no official placements for B.Arch provided by the college.  ~ Damini Kumari, B.ArchToo much assignment which is really don't like  ~ Priyanshu Kashyap, B.ArchVery few company for placement in architecture  ~ Priyanshu Kashyap, B.ArchAverage package of placement is also low  ~ Priyanshu Kashyap, B.ArchI didike the traditional old methods of theoretical teachings.  ~ Yash Raj Gautam, B.ArchI dislike the hostel is outside the main campus.  ~ Yash Raj Gautam, B.ArchBoys is outside the campus so you have to walk almost 800 mtrs  ~ Suhani Singh, B.ArchNot availability of all sports and their respective grounds  ~ Suhani Singh, B.Archmess food , mess management,mess facilities are not good here  ~ Vijeta, B.Tech","Hostelfee: ₹29,500","NIT Patna:railway: Bihta, 2 kmairport:  Jay Prakash Narayan Airport (3.0 miles / 4.8 kilometers)"
NITJalandhar,147000,"NIT Jalandhar placements 2024 is going on. For the last year, NIT Jalandhar achieved 80.63% placement rate. More than 110 recruiters visited the campus and made offers to the 950 eligible students. A total of 766 job offers were received by the students among which there were 138 students who got double job offers. NIT Jalandhar highest package stood at INR 51 LPA whereas NIT Jalandhar average package stood at INR 12.44 LPA. Some of the prominent recruiters of NIT Jalandhar include Microsoft, Google, Flipkart, Olx, Paytm, Delhivery, Reliance Industries, etc",3.8,3.8,3.8,4,3.9,4.1,"Emergency Health Facilities are good and good hostels  ~ Swagat Swaroop Parida, B.TechThe faculty here is very awesome and the faculty student ratio is 1:22  ~ Abhay Pratap Singh, B.TechFreedom in the campus no restriction in the campus  ~ Deepak Kumar, B.TechPrayas is a good program run by college students in which poor children from the college side are being educated  ~ Vijay Prakash, B.TechPunjabi majority aprox 50 percent , bhangra on events  ~ Guransh Singh, B.Tech3 term examination method at nit Jalandhar  ~ Harsh Singh, B.TechElectricity is 24 hours available in college.  ~ Priyam Rai, B.TechMess food : veg and nonveg both food are available  ~ Lucky, B.TechPlacements went very well like few of the top product based companies came to our college for campus selections (for ex Amazon and Microsoft)  ~ Ashutosh Choudhary, B.Tech","Mess food have resulted in illness of various students  ~ Ayush Kashyap, B.TechBus services are limited and on fixed on timings which cannot be accessed by all  ~ Paarth Tiwari, B.Techminimum 75% of attendance is mandatory for all students  ~ Revelly Meghanath, B.TechThe 8:30 AM classes during the winter season  ~ Shrey Kataria, B.TechHostel is not available for students who resides upto 15 km circle from the colllege  ~ Mohammed Basil Areekkan, B.Techin timing of girls around 10 pm and charge fine  ~ Sakshi, B.TechI think crowd is too much because 11 branches are available  ~ Sintu Kr, B.TechCollege WIFI is not available everywhere  ~ Arshdeep Singh, B.Techno loacal market is available near the college  ~ Piyush, B.TechStrictness like i mentioned earlier we are not allowed to sit in dark areas and we have to be inside our shitty hostels before 10 pm  ~ Dhruvansh Kumar, B.Tech","HostelFee: ₹27,500","NIT Jalandhar:railway: Jalandhar city railway station, 12kmsairport: Adampur Airport (13.0 miles / 20.9 kilometers)"
NITKurukshetra,184000,"NIT Kurukshetra Placement 2024 is in process. During the last year, the UG & PG batch achieved a total of 956 placement offers. PG students received 185 internship offers & 59 pre-placement offers. NIT Kurukshetra highest package stood at INR 62.75 LPA (bagged by B.Tech batch) whereas NIT Kurukshetra average package stood at INR 14.16 LPA for the B.Tech batch & INR 10.60 LPA for the PG (M.Tech, MBA, MCA, M.Sc) batch. Some of the prominent recruiters of NIT Kurukshetra included Adani, Amazon, hitachi, Honeywell, IBM, hexagon, Aakash, DBS Bank, Delhivery etc.",3.9,3.8,4,4.2,4.1,4.3,"i liked the facaulty and infrasture of nit kkr for better understanding  ~ Review Rebel, B.Techsocial interaction are very decents for stundents to understand human behaviour  ~ Review Rebel, B.Techstundent studyv hall ; library are quite empressive  ~ Review Rebel, B.Techhere Campus is very good and clean ,And surroundings environment is also healthy and freindly.One can opt this college if he want to enjoy college life  ~ Ankush Kumar, B.TechCollege placement and internship is also good , many decent companies come to college for placement .College have goog placement stats  ~ Ankush Kumar, B.TechInfrastructure is good having a sports ground, inter nit events facilities, swimming pool, badminton court, cricket court also many others  ~ Aman Bansal, MCAPlacement is very good for the BTech, there are lots of opportunities for the BTech cs it ece students, lot of company for them  ~ Aman Bansal, MCAClasses is very good, we'll manage with ac projector, table bench, nice building, with lift facilities, events like confluence, technspardha  ~ Aman Bansal, MCAThe faculties are good and have good knowledge in their respective fields  ~ Dipanshu, B.Tech there is very good availability of all types of sports facilities like cricket, badminton, table tennis, swimming, kabaddi, chess, etc.  ~ Govind, B.Tech","Unrelevent subjects like discreet mathematics, microprocessor, organisation behaviour, fundamental of management, these subjects just wastes of time, not help in carrier as a software engineer,  ~ Aman Bansal, MCAMany exams: like two mst and one final exam that is push us for the theoretical work less practical, no forces on coding in lab only just do something which. You like in lab, only one or two lab in week which. Should be daily  ~ Aman Bansal, MCAMess timings for the winter season it is very tough to walk up early and go for breakfast so mostly I was not able to take my brekfast  ~ Aman Bansal, MCAsomehow nit kkr having a old infrastructure  ~ Ujjawal Rana, B.Technit kurukshetra is following somehow little bit old curriculum  ~ Ujjawal Rana, B.TechThe location of college is outside the kurukshetra city  ~ Dipanshu, B.TechThe buildings are so old and hostels are very old  ~ Dipanshu, B.TechThere are very less no. Of outlets in the college  ~ Dipanshu, B.TechThe administration is not good. Sometimes fee submission process takes too long.  ~ Shahid Raza, B.TechI don't like hostel food and in over campus no shop gol gappe.  ~ Amanjot, B.Tech","NIT Kurukshetra Hostel For MaleSingle Seater Rooms:Rs.10,500, Double Seater Rooms: Rs. 7,300, Triple Seated Rooms : Rs. 4,200.NIT Kurukshetra Hostel For FemaleSingle Seater Rooms:Rs.10,500, Double Seater Rooms: Rs. 7,300, Triple Seated Rooms : Rs. 4,200.","NIT Kurukshetra:railway: Kurukshetra Junction railway station, 6.2kmsairport: Chandigarh International Airport (IXC), 70kms"
NITSilcar,135740,"NIT Silchar has concluded the 2022 placement drive. 94+ recruiters visited the campus. Some of the top recruiters are Amazon, Microsoft, Adobe, Arcesium, Intuit etc. During NIT Silchar Placements 2022, 97 students were placed with 537 offers. The highest salary received was INR 44 LPA which was offered by Amazon. Students received an average salary of INR 13.58 LPA.",4,3.8,3.9,4.2,4.1,4.3,"The college supports all types of cultural activities and celebrates all types of religious festivals, which helps us to learn different types of cultures of our Nation.  ~ Shivam Purbey, B.TechThe campus of our college consists of a large area of about 600 acres, which is filled with well maintained greeneries and signifies a symbol of cleanliness and natural beauty. The interactions with our seniors is good and they are very supportive.  ~ Shivam Purbey, B.TechThe college provides the students with the most genuine placements that are possible by the institution at their level best. They also organize programs for career guidance and invites good personalities for sharing their knowledge with us.  ~ Shivam Purbey, B.Techfirst is the competitieve environment which keeps healty competition  ~ Hari Shambhu, B.TechNo restrictions for girls . No restrictions for boys  ~ Ravi Chandra Dasari, B.TechAll kinds of books are available in library so one needn't go out to buy books.  ~ Anonymous, B.Tech","There is a little issue in the provision of place for accommodation for the outside students during inter college fests and competitions.  ~ Shivam Purbey, B.TechThere is also issue of poor internet connection in the college campus.  ~ Shivam Purbey, B.TechThe area in which our college campus is established is not such developed.  ~ Shivam Purbey, B.TechThe girls to boys ratio is 1:3 which is very bad for boys as there is 3 boys for 1 girl.  ~ Akash Kumar Mahato, B.TechThe food quality is average ,not good not much bad only eatable.  ~ Akash Kumar Mahato, B.TechCollege life is hectic as class starts at 8 am and sometimes end after 5 pm.  ~ Nabonit Paul, B.Tech","BHM Contribution:1500, Mess Advance(Adjustable with Mess bills): 21000, Total: 22500","NIT Silcarrailway: Silchar railway station, 10kmsairport: Silchar (IXS) Airport, 20.9kms"
NITUttarakhand,160980,"The placement data for NIT Uttarakhand 2024 will be released soon, it will be updated here once released. NIT Uttarakhand Placements 2023 is concluded with 74 job offers. B.Tech batch achieved 79.49% placements & M.Tech batch achieved 45.45% placements. The highest number of students were placed from the B.Tech ECE & CSE branches. NIT Uttarakhand highest package stood at INR 21 LPA whereas NIT Uttarakhand average package stood at INR 11 LPA. Some of the top recruiters of NIT Uttarakhand Placements 2023 included Adobe, Google, Accenture, Deloitte, Capgemini, TCS, Virtusa, Oracle etc.",3.7,3.4,3.7,3.2,3.4,3.9,"Hostels and lecture halls are close to each other so you dont have to waste much time in going from one place to another  ~ Harshit, B.TechThere is less competition for everything as no of seats are less as compared to other govn colleges  ~ Harshit, B.TechTechnical festival are arranged regularly  ~ Anil Kumar, B.TechTeaching staff are very good and helpful .  ~ Anil Kumar, B.Techteachers are friendly they help you in learning things  ~ Mayank Sharma, B.TechThe staff, like Guards, Mess workers etc. are also very supportive and friendly and go out of their way to help you.  ~ Pradumn Singh, B.TechThe institute is located among the hills of Uttarakhand, with beautiful views around it.  ~ Pradumn Singh, B.TechThe faculty here is experienced, well-versed and supportive.  ~ Pradumn Singh, B.TechStunning view of Alakananda river which flows just besides the college  ~ Bokka Trishal Reddy, B.TechThe college is close to many beautiful places like valley of flowers, kedarnath, badrinath, haridwar, gangotri etc  ~ Bokka Trishal Reddy, B.Tech","Outdoor sports facilities are bad ,as there as no ground for football as well as cricket  ~ Harshit, B.TechMess food is really bad ,there is only one canteen which also dont provide much options  ~ Harshit, B.TechMany departments in one buildings and lack of instruments  ~ Anil Kumar, B.TechCampus is not available present in polytechnic campus  ~ Anil Kumar, B.TechThe transport facility is not that much good  ~ Mayank Sharma, B.Techthe collage do not have its permanent campus  ~ Mayank Sharma, B.TechMess food is really bad for the fee we pay, with little variety.  ~ Pradumn Singh, B.TechInfrastructure is really poor, with students having to improvise for even the most basic needs.  ~ Pradumn Singh, B.TechFood is average but what I heard is that they improved the food quality  ~ Bokka Trishal Reddy, B.TechNo permanent campus. It is a temporary campus but the permanent campus is being built  ~ Bokka Trishal Reddy, B.Tech","HostelFee: ₹72,824 - ₹2,66,096","NIT Uttarakhand:railway: (DDN)DEHRADUN, 0.31 Kmsairport: Srinagar Sheikh ul Alam International Airport, 18.6"
NITHamirpur,180200,"NIT Hamirpur has started its 2024 placement drive. According to the NIRF 2024 reports, NIT Hamirpur median package is INR 8.25 LPA for B.Tech and INR 7.50 LPA for M.Tech during 2023 placements. As per the media reports, the highest package of NIT Hamirpur stood at INR 173 LPA and the average package closed at INR 7.54 LPA for the year 2023. A total of 690 students were placed and the overall placement rate stood at 72.65%. Some of the top recruiters of NIT Hamirpur are Accenture, Infosys, Godrej, Samsung, Capgemini, IBM and others. ",3.8,3.8,3.8,4.3,3.8,4.3,"Helpful Staff of the college enhances the knowledge.  ~ Shivam Suri, B.ArchAffordable than other private colleges of the state.  ~ Shivam Suri, B.ArchPlacements of the college are great. They also provide good internships.  ~ Shivam Suri, B.ArchThe people who you meet here are exceptionally talented.  ~ Yash, B.ArchCampus is good and mind-blowing because it is in peaceful environment.  ~ Sharaz Ahmed, B.ArchHostels are good, their meal and menu is aslo good.  ~ Sharaz Ahmed, B.ArchCampus , Location, climate also, academic performance of students too good  ~ Priyanshu, B.Arch","The Health Centre of the College must be equipped with more facilities.  ~ Shivam Suri, B.ArchMess food is not good to go (as compared to mess food of other national institutes)  ~ Shivam Suri, B.ArchNo transportation facility inside the campus and as the area of campus is large, it becomes difficult to access the departments.  ~ Shivam Suri, B.ArchThe Food from our mess. And the time table.  ~ Yash, B.ArchSome time water us not available in some hostels.  ~ Sharaz Ahmed, B.ArchRagging in architecture like Hindi intro infront of senior , senior's hostel like Himadri, Appreciate Himachali students  ~ Priyanshu, B.ArchNot checking papers properly by some (little bit)teacher, if you have good connection with teacher You will be pass otherwise if don't have good connection with teacher maybe your your marks will deduct  ~ Priyanshu, B.Arch","Hostel fees structure for 1st semester:-Mess advance – Rs 25000, Mess security extra refundable – Rs 5000, Hostel establishment fund – Rs 7500, Hostel welfare fund – Rs 200, Hostel fund – Rs 2100, Servant welfare fund – Rs 200, Total – Rs 40000Hostel fees structure for  3rd / 5th//7th & 9th semester for UG and  PG:-Mess advance – Rs 25000, Hostel establishment fund – Rs 7500, Hostel welfare fund – Rs 200, Hostel fund – Rs 2100, Servant welfare fund – Rs 200, Total – Rs 35000Hostel fees structure for  2nd/4th,/6th/8th & 10th semester for UG and  PG:-Mess advance – Rs 25000, Servant welfare fund – Rs 200, Total – Rs 25200","NIT Hamirpur:railway: Una , 80kmsairport: Dharamshala, 75kms"
NITRaipur,142820,"NIT Raipur Placements 2024 has not been concluded yet. So far, the highest package of NIT Raipur is INR 58 LPA offered to a B.Tech CSE student by DE Shaw during the ongoing 2024 placements. However, according to the NIT Raipur Placement Report 2023, the highest package of NIT Raipur stood at INR 55 LPA and the average package closed at INR 13.75 LPA. A total of 1,177 students received placement offers and companies finalised 834 offers which was 36% higher as compared to the previous years. The highest number of offers were received by the IT & Mechanical students. A total of 125 recruiters participated in NIT Raipur Placements 2023. Some of the top recruiters of NIT Raipur are Wipro, Capgemini, Infosys, Adobe, Aditya Birla Group etc.",3.9,3.4,3.8,3.8,4,4.1,"Lab facilities are the best in this college  ~ Review Ninja, B.TechTwo days holiday in week is provided which is best  ~ Review Ninja, B.TechFest that happens in the college is the best among all  ~ Review Ninja, B.TechThere is nothing I liked about this college  ~ Mitesh Sahu, B.TechOh girls is to boys ratio is over-all good in the college but not in branch  ~ Mitesh Sahu, B.TechFacilities aspect - faculty expertise is knowledgeable and cooperative  ~ Aryan Choure, B.TechSome of the fests are good you can enjoy but not that much  ~ Mitesh Sahu, B.TechCampus life : students report a vibrant campus life with ample opportunity for social interaction and extra curricular activities  ~ Aryan Choure, B.TechPlacement - The institution provides strong placement records with around 80% students secured the position in the campus  ~ Aryan Choure, B.TechThe faculty base of National Institute Of Technology is an actual gem. Studying from them is really a blessing, they make concept crystal clear by giving practical life examples.  ~ Luv Singh Saluja, B.Tech","Some time classes are too lengthy and boring  ~ Review Ninja, B.TechCampus is a bit smaller and very old  ~ Review Ninja, B.TechCampus is too small, lack in good gym facilities and greenery.  ~ Mitesh Sahu, B.TechThe worst part is there is not enough hostel for all the students only few of them are allotted hostels.  ~ Mitesh Sahu, B.TechLacks in sports ground, volleyball ground tennis ground and many sports facilities, there is only one big land in which all the occasion occurs campus life is too boring as of it is a Nit  ~ Mitesh Sahu, B.TechThey have to improve the quality and infrastructure  ~ Aryan Choure, B.TechThe mess price are high , other than this there is no facilities for all the students to get the hostel  ~ Aryan Choure, B.TechThe structure of building is very old. Any new students will easily get confused to find their respective classes as there is no proper map of campus building outside the building.  ~ Luv Singh Saluja, B.TechThe parking is located very far from the campus building. So students have to rush through the walkways, halls to reach their respective classrooms.  ~ Luv Singh Saluja, B.TechLibrary is too small even a complete class can't seat together.  ~ Bansod Prashik Sohan, B.Tech","The hostel fee is as follows :-Caution Money:- Rs. 1,500Hostel Maintenance:- Rs. 6,000Digital Infrastructure maintainance charges – Rs 500Mess Advance:- Rs. 35,000Hostel Rent:- Rs. 5,515Electricity & Water Charges :- Rs. 6,000As such, the students has to pay INR 54,515","NIT Raipur:railway: Raipur railway station, 5kmairport: Swami Vivekananda Airport (7.7 miles / 12.4 kilometers)"
